Index,ABox,Run,Time,Judgement
0,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1195,I
230,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9636,I
231,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6048,I
232,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9593,I
233,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.9638,I
234,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7606,I
235,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.7636,I
236,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6058,I
237,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6065,I
238,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,4.1164,I
239,"a:/Ar.A,a:/Er.-A",| -> a:/Er.-A -> a:/Ar.A,3.96,I
240,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.6103,I
241,"a:/Ar.A,a:/Er.-A",| -> a:/Ar.A -> a:/Er.-A -> a:/Ar.A,4.767,I
